id;scenario_id;region;year;input_energy_vector;output_energy_vector;technology;technology_type;parameter_name;value;unit;tags;method;source;comment
54;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;biomass;electricity;generator;steam;lifetime;25;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p138, Wood Chips CHP, small
55;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;biomass;electricity;generator;steam;input ratio;1;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p138, Wood Chips CHP, small
56;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;biomass;electricity;generator;steam;output ratio;0.15;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p138, Wood Chips CHP, small
57;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;generator;steam;variable costs;2.38;€/MWh;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
58;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;generator;steam;fixed costs;23864;€/MW/a;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
59;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;generator;steam;capital costs;1462240;€/MW;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
60;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;generator;steam;lifetime;25;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
61;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;generator;steam;input ratio;1;;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
62;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;generator;steam;output ratio;0.49;;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
63;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;chp;steam;variable costs;2.38;€/MWh;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
64;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;chp;steam;fixed costs;25120;€/MW/a;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
65;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;chp;steam;capital costs;1539200;€/MW;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
66;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;chp;steam;lifetime;25;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
67;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;chp;steam;input ratio;1;;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
68;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;hard coal;electricity;chp;steam;output ratio;0.49;;;"{""value"": ""own calculation based on DEA2020 and ETRI2014""}";DEA2020, ETRI2014;
69;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;generator;steam;variable costs;2.83;€/MWh;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
70;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;generator;steam;fixed costs;29830;€/MW/a;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p30
71;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;generator;steam;capital costs;1827800;€/MW;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p30
72;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;generator;steam;lifetime;25;years;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
73;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;generator;steam;input ratio;1;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
74;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;generator;steam;output ratio;0.47;;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
75;1;"[""BB"",""BE"",""BW"",""BY"",""HB"",""HE"",""HH"",""MV"",""NI"",""NW"",""RP"",""SH"",""SL"",""SN"",""ST"",""TH""]";2016;lignite;electricity;chp;steam;variable costs;2.98;€/MWh;;"{""value"": ""Interpolation 2015-2020""}";DEA2020;p36, Supercritical Pulverized Fuel Power Plant
